feature,score,max,min,n_null,type
x105,268,,,130,numeric
x17,268,,,92,numeric
x579,267,,,19,numeric
x220,267,,,19,numeric
x198,267,,,19,numeric
x685,266,,,19,numeric
x976,264,,,19,numeric
x782,263,,,19,numeric
x590,263,,,19,numeric
x344,262,,,34,numeric
x1067,262,,,4951,numeric
x104,262,,,130,numeric
x722,261,,,19,numeric
x704,261,,,19,numeric
x349,261,,,0,numeric
x1130,261,,,0,category
x287,260,,,19,numeric
x1064,260,,,4951,numeric
x1090,259,,,4951,numeric
x493,259,,,83,numeric
x117,259,,,92,numeric
x394,258,,,19,numeric
x575,257,,,19,numeric
x385,257,,,19,numeric
x733,257,,,19,numeric
x340,256,,,19,numeric
x585,256,,,19,numeric
x267,255,,,19,numeric
x63,253,,,130,numeric
x843,252,,,19,numeric
x546,252,,,3900,numeric
x388,252,,,19,numeric
x1021,252,,,19,numeric
x651,251,,,19,numeric
x470,251,,,0,numeric
x54,251,,,131,numeric
x972,250,,,13588,numeric
x1057,250,,,4951,numeric
x33,250,,,130,numeric
x968,249,,,12142,numeric
x768,249,,,19,numeric
x851,249,,,19,numeric
x713,248,,,19,numeric
x497,248,,,83,numeric
x609,247,,,19,numeric
x1060,247,,,4951,numeric
x387,247,,,19,numeric
x555,245,,,19,numeric
x285,245,,,19,numeric
x982,244,,,19,numeric
x1003,243,,,19,numeric
x777,243,,,19,numeric
x1125,243,,,0,category
x90,242,,,131,numeric
x675,242,,,19,numeric
x80,241,,,92,numeric
x64,240,,,130,numeric
x981,239,,,19,numeric
x217,239,,,131,numeric
x1020,238,,,19,numeric
x594,237,,,19,numeric
x573,236,,,19,numeric
x560,236,,,19,numeric
x370,236,,,19,numeric
x512,235,,,19,numeric
x646,235,,,13169,numeric
x49,235,,,92,numeric
x444,235,,,13651,category
x1059,234,,,4951,numeric
x920,234,,,4951,numeric
x955,234,,,4421,numeric
x669,233,,,19,numeric
x904,233,,,4951,numeric
x633,232,,,19,numeric
x480,231,,,21,numeric
x994,229,,,19,numeric
x1001,229,,,19,numeric
x232,229,,,92,numeric
x253,226,,,19,numeric
x960,226,,,4421,numeric
x752,225,,,19,numeric
x460,225,,,0,numeric
x484,223,,,20,numeric
x924,223,,,4951,numeric
x749,222,,,19,numeric
x707,222,,,19,numeric
x386,222,,,19,numeric
x511,220,,,19,numeric
x152,220,,,19,numeric
x197,219,,,19,numeric
x865,218,,,19,numeric
x709,216,,,19,numeric
x1068,215,,,4951,numeric
x326,215,,,19,numeric
x892,214,,,4951,numeric
x887,213,,,4951,numeric
x174,213,,,19,numeric
x1074,211,,,4951,numeric
x244,211,,,19,numeric
x805,210,,,19,numeric
x802,210,,,19,numeric
x389,210,,,19,numeric
x48,210,,,92,numeric
x45,210,,,19,numeric
x836,209,,,19,numeric
x339,209,,,19,numeric
x12,209,,,19,numeric
x683,208,,,19,numeric
x796,207,,,19,numeric
x360,207,,,0,numeric
x1116,207,,,0,category
x139,207,,,83,numeric
x653,206,,,19,numeric
x576,205,,,19,numeric
